"osid","itemid","itemqty","purrate","itemmrp","itemsalerate","entrydate","empid"
"CONS1-2889","10291","40.00","50.00","80.00","60.00","2023-01-10","204"
"MSNG1-64","2898","11.00","168.00","380.00","180.00","2023-01-10","204"
"MSNG1-65","5964","86.00","30.00","45.00","35.00","2023-01-10","204"
"MSNG1-66","102","11.00","150.00","195.00","170.00","2023-01-10","204"
"PROD1-343","10292","40.00","50.00","85.00","60.00","2023-01-10","204"
"CONS1-2888","5938","50.00","12.00","25.00","20.00","2022-12-14","204"
"PROD1-342","6612","50.00","12.00","25.00","20.00","2022-12-14","204"
"PROD1-341","13527","24.00","9.06","25.00","15.00","2022-12-07","204"
"CONS1-2887","2272","15.00","500.00","545.00","512.00","2022-11-02","204"
"PROD1-340","8483","15.00","515.00","565.00","525.00","2022-11-02","204"
"CONS1-2886","9645","1.00","150.00","200.00","170.00","2022-10-19","204"
"PROD1-339","13114","30.00","4.00","10.00","8.00","2022-10-19","204"
"CONS1-2885","6408","5.00","38.00","85.00","50.00","2022-09-16","204"
"PROD1-338","12855","5.00","50.00","95.00","69.00","2022-09-16","204"
"CONS1-2884","6600","7.00","97.60","125.00","108.00","2022-08-25","204"
"PROD1-337","6601","15.00","48.00","70.00","57.00","2022-08-25","204"
"DMGE1-31","11492","1.00","175.50","350.00","225.00","2022-08-11","204"
"DMGE1-32","11490","1.00","166.50","330.00","210.00","2022-08-11","204"
"DMGE1-33","11493","2.00","90.00","175.00","115.00","2022-08-11","204"
"CONS1-2882","11912","4.00","1060.00","1830.00","1120.00","2022-08-09","204"
"CONS1-2883","6600","1.00","97.60","125.00","108.00","2022-08-09","204"
"PROD1-336","6059","40.00","95.00","140.00","110.00","2022-08-09","204"
"CONS1-2881","4142","4.00","91.00","110.00","97.00","2022-08-07","204"
"CONS1-2880","9757","10.00","42.50","60.00","43.50","2022-08-06","204"
"MSNG1-62","5929","2.00","92.70","135.00","103.00","2022-08-06","204"
"MSNG1-63","5930","3.00","46.35","75.00","55.00","2022-08-06","204"
"PROD1-335","6666","20.00","21.25","65.00","33.00","2022-08-06","204"
"CONS1-2879","9757","49.00","42.00","60.00","43.00","2022-07-28","204"
"MSNG1-60","5986","32.00","36.00","43.00","40.00","2022-07-28","204"
"MSNG1-61","5970","72.00","18.00","24.00","20.00","2022-07-28","204"
"MSNG1-59","6110","70.00","28.60","35.00","32.00","2022-07-26","204"
"MSNG1-56","5964","22.00","28.50","45.00","35.00","2022-07-19","204"
"MSNG1-57","102","9.00","145.00","195.00","170.00","2022-07-19","204"
"MSNG1-58","11584","5.00","29.50","45.00","35.00","2022-07-19","204"
"DMGE1-29","5912","9.00","40.00","65.00","46.00","2022-07-18","204"
"DMGE1-30","6555","38.00","20.39","30.00","24.00","2022-07-18","204"
"MSNG1-54","5961","53.00","56.82","80.00","65.00","2022-07-16","204"
"MSNG1-55","6602","2.00","28.41","45.00","35.00","2022-07-16","204"
"PROD1-334","6418","7.00","46.25","90.00","70.00","2022-07-16","204"
"CONS1-2877","6142","58.00","100.60","145.00","112.00","2022-07-15","204"
"CONS1-2878","6141","16.00","50.30","75.00","58.00","2022-07-15","204"
"CONS1-2869","6060","37.00","88.00","125.00","96.00","2022-07-14","204"
"CONS1-2870","6170","52.00","78.00","105.00","88.00","2022-07-14","204"
"CONS1-2871","6170","1.00","78.00","105.00","88.00","2022-07-14","204"
"CONS1-2872","9767","22.00","60.00","102.00","70.00","2022-07-14","204"
"CONS1-2873","5950","26.00","15.50","55.00","25.00","2022-07-14","204"
"CONS1-2874","6064","13.00","75.00","165.00","90.00","2022-07-14","204"
